"id","recipies_title","recipe_ingredients","recipe_instructions"
"19","Maa Ladoo","2
ghee 1
green cardamom
roasted gram (dalia) 1
sugar","Ingredients
1 cup ROASTED GRAM (DALIA)
0.50 cup SUGAR
0.25 cup GHEE
2 no CARDAMOM
Instructions
1: Place roasted grams in a mixer and grind it to a fine powder and transfer it to a bowl. 
2: Grind sugar and cardamoms together to a fine powder and add it to the powdered roasted grams. 
3: Heat ghee in a microwave oven for 40 - 50 seconds and add it to the powdered roasted grams mixture. 
4: Mix well and shape them into the small balls. Serve or store it in an air-tight container for up to a week. 
"
"2","Anchovy Fry","3
all purpose flour 1
anchovy 1
chilli powder
coriander powder
curry leaves
ginger garlic paste 1
lemon
salt
turmeric powder","Ingredients
1 lb ANCHOVY
1 tbsp GINGER GARLIC PASTE
1 tbsp CORIANDER POWDER
0.50 tbsp RED CHILI POWDER
1 tsp SALT TABLE
2 tbsp ALL PURPOSE FLOUR
0.50 tsp TURMERIC GROUND
10 no CURRY LEAVES
1 tsp LEMON JUICE RAW
Instructions
1: Clean and wash the anchovy thoroughly. I used cleaned frozen anchovy, so I thawed it in a refrigerator for over night and washed it in the cold water once before marinating. 
2: In a wide bowl marinate the anchovy with red chili powder, turmeric powder, coriander powder, salt, ginger garlic paste, lemon juice, curry leaves and mix well.  
3: Add all purpose flour and mix well. Sprinkle little amount of water and mix well until the spices and flour coated evenly on anchovy. Marinate in the refrigerator for an hour. 
4: In a hot oil shallow fry the marinated anchovy until it turns into crispy. 
"
"20","Masala Dosa","3
chana dal or bengal gram
coriander leaves
dosa batter 1
garlic
ginger
green chilies
mustard seeds
oil
onion
potatoes 1
red chilli (dried)
salt
shredded coconut
tamarind
urad dal 1","Ingredients
2 cups DOSA BATTER
1 no POTATO (MEDIUM SIZE)
0.50 cup ONION (SLICED THINLY)
2 no GREEN CHILIES
1 tbsp OIL
0.50 tsp MUSTARD SEEDS
1 tsp URAD DAL
0.50 tsp GINGER GRATED
1 tbsp CILANTRO (CORIANDER)LEAVES RAW
1 tsp SALT (to taste)
1 cup ONION CHOPPED
2 tbsp COCONUT SHREDDED
2 tbsp CHANNA DAL
15 gms GARLIC
0.50 tsp TAMARIND
1 tbsp OIL
6 no RED CHILIES RAW
Instructions
1: For spicy chutney: In a pan heat a tbsp of oil, add channa dal, red chilies and roast until the channa dal color changes to golden brown. 
2: Add garlic, chopped onion and cook until the onion becomes soft. Add grated coconut, tamarind and saute until the nice coconut aroma comes out. Allow to cool and grind to a smooth paste by adding water little by little. 
3: For potato masala: Peel the potatoes and cut them roughly. In a saucepan add water, chopped potatoes and boil until the potatoes become tender. Mash the potatoes using a fork or potato masher. 
4: In a pan heat oil, add mustard seeds and allow to splutter. Add urad dal and saute until the color changes to golden brown. 
5: Add asafoetida and mix well in the oil. Add grated ginger, chopped onion, chopped green chilies and cook until the onion becomes soft.  
6: Add turmeric powder and cook until the turmeric powder loses its raw smell. 
7: Add water and cook until the onion becomes soft. Add mashed potato, salt and mix well. Garnish with chopped coriander leaves. 
8: For Mysore masala dosa: In a non-stick skillet, pour a laddle full of batter and spread into a thin circle. Drizzle oil on the corners of a dosa and cook until the dosa get cooked completely. 
9: Spread the spicy chutney on the dosa evenly and place a spoon of potato masala in the center of a dosa. Fold and serve. 
"
"21","Medu Vada","2
coriander leaves
ginger
green chilies
oil
onion 1
salt
urad dal 1
water
curry leaves","Ingredients
1 cup URAD DAL
1 cup ONION CHOPPED
2 no GREEN CHILIES
0.50 tsp GINGER
10 no CURRY LEAVES
3 tbsp CILANTRO (CORIANDER)LEAVES RAW
2 tbsp WATER
1 tsp SALT (to taste)
1 cup OIL (for deep frying)
Instructions
1: Soak the urad dal for 4 - 5 hours. Drain water completely and grind it to a smooth and fluffy batter (Sprinkle little amount of water while grinding for a fluffy batter).  
2: Add the chopped onion, green chilies, curry leaves, grated ginger, chopped coriander leaves, salt and mix well. 
3: Divide the batter into small portions and make a hole in between and deep fry in hot oil until the color changes into golden brown. 
"
"22","Moong Dal Payasam","4
cashewnuts or kaju
ghee 1
green cardamom
jaggery 1
milk 1
moong dal 1
raisins
shredded coconut","Ingredients
1 cup MOONG DAL RAW
1.75 cup JAGGERY
2 no CARDAMOM
2 tbsp GHEE
1 cup SHREDDED COCONUT OR THINLY SLICED COCONUT PIECES
10 gms CASHEW NUTS RAW
10 gms RAISINS GOLDEN SEEDLESS
4 cups MILK
Instructions
1: Pressure cook moong dal separately for 4 whistles or until soft. Allow it to cool naturally. 
2: In a microwave heat jaggery with a little amount of water until the jaggery melts down completely and filter it (you can also make jaggery syrup on the stove top using a heavy bottomed pan). 
3: In a separate pan heat ghee and roast cashew nuts until the color changes into golden brown. Remove it using a slotted spoon and keep aside. 
4: Add raisins and cook until it plumps up. Remove using a spoon and keep aside.  
5: Add shredded coconuts and roast it until the color changes into golden brown. 
6: Add cooked dal, cardamoms, jaggery syrup and mix well. Add milk, mix well and allow it to boil. When it starts boiling, turn off the heat and garnish it with roasted cashew nuts and raisins. You can serve this dessert hot or cold. 
"
"23","Mor Kulambu","5
asafoetida/hing 1
black cumin seeds /kala jeera
chana dal or bengal gram
coconut 1
coriander leaves
coriander powder
curry leaves
ginger
green chilies
mustard seeds
oil
okra 1
turmeric powder
urad dal 1
yogurt 1","Ingredients
1 cup OKRA RAW
1 cup YOGURT
0.50 tbsp CORIANDER POWDER
0.50 tbsp CUMIN SEED
2 no GREEN CHILIES
2 tbsp OIL
1 tbsp CHANNA DAL RAW
0.50 cup COCONUT MEAT RAW
0.25 tsp TURMERIC GROUND
0.50 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
2 tbsp CILANTRO (CORIANDER)LEAVES RAW
0.25 tsp HING OR ASAFOETIDA
10 no CURRY LEAVES
0.50 tsp GINGER ROOT
Instructions
1: Wash and chop the okra into small pieces. Grind the shredded coconut, coriander seeds, green chilies, cumin seeds, channa dal to a smooth paste using a mixer or blender. 
2: In a pan heat 1.50 tbsp of oil and add chopped okra. Saute in the oil until the stickiness of okra goes off and the okra becomes little crispy. Remove the okra from a pan and keep aside until needed. 
3: In the same pan, heat half a tbsp of oil add mustard seeds and allow it to splutter. Add urad dal and saute until the color changes into golden brown. Add grated ginger and saute until the raw smell goes off. 
4: Add curry leaves, asafoetida and mix well in the oil. Add the grounded coconut mixture, turmeric powder, mix well and bring it to a boil. 
5: When the coconut mixture starts boiling, add the yogurt and mix well. Add water and bring it to the desired curry consistency.  
6: Cook until it starts boiling and the froth started forming on the top. Turn off the heat and garnish with the chopped coriander leaves. 
"
"24","Mysore Pak","2
chickpea flour (besan) 1
ghee 1
oil
sugar
water","Ingredients
0.50 cup CHICKPEA FLOUR (BESAN)
0.50 cup GHEE
0.25 cup OIL
1 cup SUGARS GRANULATED
1 cup WATER
Instructions
1: Sift besan flour separately using a flour sifter and keep it ready. Grease the square shaped bowl or plate with ghee and set aside until needed. 
2: Combine oil and melted ghee separately in a bowl and keep it ready. 
3: In a sauce pan add a cup of sugar, a cup of water and boil until the syrup becomes slightly thick and sticky. 
4: Gradually add the besan flour and mix well without leaving any lumps. 
5: Add ghee and oil mixture and mix well. Cook over a low - medium flame until the besan mixture becomes thick. Keep stirring to avoid the besan flour getting burned. 
6: Transfer to a greased square shaped bowl or plate and allow to cool completely. Cut them into small rectangle shapes using a knife and serve. 
"
"25","Onion Eggplant Chutney","3
brinjal (small) 1
chilli powder
coriander powder
garlic
ginger
oil
onion 1
peanuts 1
salt
tomato","Ingredients
4 no Eggplants Small Size
1 cup Onion Chopped
2 tbsp Oil
1 no Garlic Clove
1 tsp Ginger Grated
2 no Roma Tomato
1 tsp Red Chili Powder (add according to your taste)
1 tsp Coriander Powder
2 tbsp Peanuts (skinless)
2 tsp Salt (to taste)
Instructions
1: In a pan, heat oil, add garlic, grated ginger and cook until the garlic color changes to golden brown. Add peanuts and roast until the peanuts color changes to golden brown. 
2: Add chopped onion and cook until the onion becomes soft. 
3: Add chopped eggplants and cook until the eggplants become tender. 
4: Add chopped tomato and cook until the tomatoes become soft. 
5: Add salt, coriander powder, red chili powder and cook until the spices lose its raw smell. Allow to cool, grind to a smooth chutney and serve. 
"
"26","Onion Peanut Chutney","4
asafoetida/hing
curry leaves
garlic
mustard seeds
oil
onion 1
peanuts 1
red chilli (dried) 1
salt
tamarind paste 1
urad dal","Ingredients
1 cup Onion Chopped
0.50 cup Blanched and Roasted Peanuts
4 no Dry Red Chilies
1 tbsp Oil + 1 tsp oil for tampering
0.50 tsp Tamarind Paste
1.50 tsp Salt (to taste)
2 no Garlic cloves Medium Size
0.50 tsp Mustard Seeds
0.50 tsp Urad Dal
1 pinch Asafoetida
5 no Curry Leaves
Instructions
1: In a small saucepan, heat oil, add chopped onion, red chilies, garlic and saute until the onion color changes to golden brown and allow to cool. 
2: In a blender, add sauteed onion mixture, tamarind paste, roasted peanuts, salt, little amount of water and grind to a smooth texture. Transfer to a serving bowl. 
3: For tampering: In the same saucepan, heat a tsp of oil, add mustard seeds and when they start to splutter, add urad dal and saute until the color changes to golden brown. Add asafoetida and mix well in the oil. Add curry leaves and give a quick mix.  
4: Add it to the chutney, mix well and serve.  
"
"27","Paniyaram","3
asafoetida/hing
green chilies
methi/fenugreek
mustard seeds
oil
onion 1
rice 1
urad dal 1","Ingredients
1 cup RICE WHITE LONG-GRAIN
0.25 cup URAD DAL
0.5 tsp FENUGREEK SEED
2 cup ONIONS RAW
4 tbsp OIL
2 no GREEN CHILIES
0.5 tsp MUSTARD SEEDS
1 tsp URAD DAL
0.25 tsp HING OR ASAFOETIDA
Instructions
1: Chop the onion and green chilies finely. 
2: In a pan, heat oil add the mustard seeds and wait until it gets splutter. Add the urad dal and saute until it becomes golden brown. Add the asafoetida and mix well in the oil. 
3: Add the chopped onion, green chilies and cook until onion becomes soft.  
4: In a bowl add cooked onion mixture, sour idli dosa batter, salt and mix well.  
5: Heat a drop of oil into each mold in Paniyaram pan and pour a spoonful batter into each mold up to 3/4 full. Cover and cook until the bottom side of the Ppaniyaram gets cooked, turn and cook on the other side until it gets cooked and color changes to golden brown. 
"
"28","Paruppu Vada","3
asafoetida/hing
chana dal or bengal gram 1
cinnamon
fennel seed 1
ginger
green chilies 1
oil
onion
red chilli (dried)
salt","Ingredients
2 cup CHANNA DAL
0.50 tbsp FENNEL SEED
1 no GREEN CHILIES
2 no DRY RED CHILIES
1 tsp GINGER GRATED
1 inch CINNAMON STICK
1 cup ONION CHOPPED
2 cups OIL (for deep frying)
0.25 tsp HING OR ASAFOETIDA
1 tsp SALT
Instructions
1: Soak the channa dal in cold water for about 5 hours and drain the water completely. 
2: Grind fennel seeds, cinnamon stick, green chilies, red chilies, ginger to a coarse paste first. 
3: Add channa dal and grind it together with spices to a coarse paste (this step helps to blend and mix the spices with channa dal without staying as it is or getting stuck in between while grinding. 
4: In a medium bowl add grounded channa dal mixture, chopped onion, salt, hing (asafoetida) and mix well. 
5: Divide the batter into small portions and roll it into the ball shape. Press in between the palms and make a patty.  
6: Deep fry it in a medium flame until the color changes into golden brown. 
"
"29","Pepper Chicken","3
black pepper 1
chicken 1
chilli powder
coriander leaves
coriander powder
curry leaves
fennel seed
garam masala powder
ginger garlic paste 1
green chillies
oil
onion
salt
turmeric powder
","Ingredients
1.50 lb CHICKEN
1 tsp PEPPER BLACK
0.50 cup OIL
10 no CURRY LEAVES
2 cup ONION CHOPPED
0.50 tbsp SALT TABLE
0.50 tbsp RED CHILI POWDER
0.50 tbsp CORIANDER POWDER
1.50 tbsp GARAM MASALA
1 tbsp GINGER GARLIC PASTE
0.25 tsp TURMERIC POWDER
1 tsp FENNEL SEED
1 tsp PEPPER BLACK
0.25 cup CILANTRO (CORIANDER)LEAVES RAW
4 no GREEN CHILIES
Instructions
1: Chop the chicken into small pieces and slice the onions thinly. In a pan heat oil, add in the fennel seeds, curry leaves, green chilies, sliced onion and cook until onion becomes soft. 
2: Add the turmeric powder, ginger garlic paste mix well and cook until the ginger garlic paste loses its raw smell. 
3: Add the chopped chicken pieces, coriander powder, red chili powder, salt, black pepper powder, garam masala and mix well. Cover and cook, until chicken, get cooked thoroughly over a medium heat. Make sure to stir in between to avoid burning the onions and spices. 
4: Take off the lid and mix in the crushed whole black pepper. Garnish it with chopped coriander leaves. 
"
"3","Aviyal","5
beans 1
black cumin seeds /kala jeera
carrots 1
coconut oil
curry leaves
green chilies
potatoes 1
salt
shredded coconut 1
turmeric powder
water
yogurt 1","Ingredients
100 gms GREEN BEANS
100 gms CARROTS RAW
75 gms POTATO
0.25 cup SHREDDED COCONUT
2 tbsp PLAIN YOGURT
1 no GREEN CHILIES
0.50 tsp CUMIN SEED
1 tsp SALT TABLE
0.25 tsp TURMERIC POWDER
0.50 cup WATER
1 tsp COCONUT OIL
5 no CURRY LEAVES
Instructions
1: Peel and chop the potato, carrot and green beans into small pieces.  
2: In a blender or mixer grind the shredded coconut, cumin seeds, and green chilies together until smooth and keep it aside until needed. 
3: In a pan add chopped potato, green beans, carrot, salt, water and turmeric powder. Cover and cook until the vegetables get 3/4 done. 
4: Uncover the lid and add the grounded coconut mixture. Cover and cook until the vegetables become soft (but not mushy). You should taste each and every piece of the vegetable in avial). 
5: Add yogurt and mix well. Check for the salt and remove from a heat immediately. 
6: In a small skillet heat coconut oil, add curry leaves and add it to the avial.
"
"30","Podi Dosa","2
coriander leaves
dosa batter 1
oil
onion 1","Ingredients
1 cup Dosa Batter
2 tbsp Onion Finely Chopped
2 tbsp Idli Milagai Podi
2 tsp Oil
1 tbsp Cilantro Chopped
Instructions
1: In a hot skillet pour a ladle full of batter and spread in a circular motion. This dosa should be slightly thicker not in a crispy texture. 
2: Sprinkle idli podi on top of the dosa and top with chopped onion and coriander leaves.  
3: Drizzle oil on sides of a dosa and cook on both the sides until the dosa gets cooked. Podi dosa is ready to serve. 
"
"31","Potato Fry","2
asafoetida/hing
black pepper
chilli powder
coriander powder
curry leaves
mustard seeds
oil
potatoes 1
salt
urad dal 1","Ingredients
2 no POTATOES
4 tbsp OIL
1 tsp RED CHILI POWDER
2 tsp CORIANDER POWDER
0.75 tsp SALT TABLE
0.50 tsp MUSTARD SEEDS
1 tsp URAD DAL
0.25 tsp HING OR ASAFOETIDA
10 no CURRY LEAVES
0.50 tsp BLACK PEPPER POWDER
Instructions
1: Chop the potatoes into small pieces. In a pan heat oil add mustard seeds and allow it to splutter. 
2: Add urad dal and cook until the colour changes into golden brown. Add asafoetida and mix well in the oil. Add curry leaves, chopped potatoes and mix well 
3: Cover and cook until potatoes become soft, but not mushy. 
4: Add red chili powder, salt, turmeric powder, coriander powder and mix well 
5: Cook uncovered until the potatoes turn crispy. Keep stirring in between to avoid potatoes get burned. 
6: Add pepper powder, mix well and serve. 
"
